"Objective_function","Main_RecrDev_1994","Main_RecrDev_1995","Main_RecrDev_1996","Main_RecrDev_1997","Main_RecrDev_1998","Main_RecrDev_1999","Main_RecrDev_2000","Main_RecrDev_2001","Main_RecrDev_2002","Main_RecrDev_2003","Main_RecrDev_2004","Main_RecrDev_2005","Main_RecrDev_2006","Main_RecrDev_2007","Main_RecrDev_2008","Main_RecrDev_2009","Main_RecrDev_2010","Main_RecrDev_2011","Main_RecrDev_2012"
273.318,-0.17734,0.0662938,-0.227696,0.101113,-0.288749,0.28564,0.273265,0.127673,0.0708963,0.0278102,-0.363972,-0.160425,0.188474,-0.109158,-0.0604232,-0.476255,0.084685,0.551939,0.086228
276.454,-0.163328,0.0695487,-0.218108,0.106778,-0.296323,0.267693,0.272734,0.126781,0.0696671,0.0230282,-0.374643,-0.154169,0.1838,-0.10821,-0.0616541,-0.473386,0.107619,0.544896,0.0772747
277.812,-0.182197,0.071508,-0.218925,0.103135,-0.307431,0.266867,0.257427,0.134193,0.0889126,0.0311774,-0.371915,-0.15821,0.192418,-0.116076,-0.0581545,-0.460183,0.112163,0.539529,0.0757626
276.726,-0.177192,0.0801583,-0.218529,0.104949,-0.332445,0.256477,0.265897,0.141295,0.0943983,0.0364383,-0.374499,-0.156341,0.18837,-0.121657,-0.0587169,-0.465908,0.109543,0.538323,0.0894377
273.697,-0.186024,0.073308,-0.228722,0.127309,-0.327942,0.258845,0.271414,0.172127,0.0781855,0.0314489,-0.356319,-0.151279,0.175882,-0.131546,-0.0478428,-0.463728,0.111744,0.514471,0.0786693
277.492,-0.177134,0.07025,-0.226532,0.106046,-0.300295,0.256699,0.269734,0.15492,0.0770745,0.0293291,-0.35989,-0.163345,0.171845,-0.124193,-0.0640161,-0.438191,0.128068,0.515273,0.0743574
279.179,-0.184136,0.0771089,-0.211032,0.143436,-0.295106,0.249758,0.255246,0.159255,0.0561135,0.0412478,-0.3684,-0.171434,0.178493,-0.142203,-0.0527689,-0.456631,0.133996,0.507327,0.0797279
278.36,-0.156325,0.0784712,-0.242115,0.122285,-0.286394,0.249993,0.252518,0.154429,0.0437638,0.0454284,-0.357058,-0.16155,0.193418,-0.153517,-0.0579897,-0.448919,0.150161,0.489154,0.0842463
278.162,-0.166726,0.0675709,-0.248261,0.12872,-0.326599,0.257068,0.272235,0.157888,0.0529651,0.0417988,-0.379331,-0.145433,0.198621,-0.155047,-0.0307636,-0.459314,0.156001,0.507272,0.071334
278.588,-0.162608,0.0656635,-0.24445,0.118383,-0.33836,0.259054,0.27074,0.152924,0.0476765,0.0360835,-0.35699,-0.161013,0.187044,-0.163757,-0.00923343,-0.449241,0.142595,0.51687,0.088618
