"SR_LN(R0)","SR_BH_steep","Main_RecrDev_2008"
10.3526,0.615447,-0.0938024
10.3585,0.616361,-0.095975
10.3574,0.614488,-0.101593
10.3629,0.615647,-0.0891532
10.3681,0.613419,-0.092283
10.372,0.610261,-0.0949977
10.3622,0.611756,-0.0821677
10.3646,0.613717,-0.0815597
10.3564,0.616677,-0.0870327
10.3447,0.624466,-0.0907487
10.3438,0.625113,-0.0897653
10.3454,0.625368,-0.0818798
10.3544,0.623551,-0.0786912
10.3428,0.6281,-0.072148
10.3481,0.625805,-0.0615215
10.3297,0.629024,-0.0612411
10.331,0.630151,-0.0618014
10.3129,0.637576,-0.0675734
10.3149,0.636549,-0.0714407
10.3336,0.632703,-0.0620507
10.3308,0.630409,-0.0825561
10.3321,0.631541,-0.0712869
10.3272,0.633327,-0.0700647
10.3337,0.632586,-0.0752135
10.3311,0.631562,-0.0758122
10.3242,0.632339,-0.0861936
10.3286,0.633461,-0.088731
10.3309,0.630998,-0.0930675
10.3182,0.635011,-0.0933527
10.3212,0.632418,-0.0975162
10.3299,0.627504,-0.103328
10.3252,0.627835,-0.104926
10.3269,0.627355,-0.104569
10.3309,0.62732,-0.105479
10.3184,0.630826,-0.1035
10.3176,0.632011,-0.10688
10.3301,0.62725,-0.107208
10.3436,0.619365,-0.0961924
10.34,0.619478,-0.10098
10.3499,0.616785,-0.0813633
10.3639,0.611295,-0.0878498
10.368,0.61108,-0.0832599
10.3712,0.610074,-0.0768247
10.3626,0.616176,-0.0557973
10.3648,0.614948,-0.0436627
10.3628,0.614808,-0.0461404
10.3503,0.61557,-0.0279536
10.3382,0.616419,-0.0187873
10.3454,0.61337,-0.0066483
10.3653,0.609281,0.000933322
10.3561,0.614235,-0.0135715
10.3546,0.613393,-0.0148486
10.3588,0.613401,-0.0138547
10.3572,0.616851,-0.00458694
10.3489,0.619275,-0.00889093
10.3489,0.619275,-0.00889093
10.3489,0.619275,-0.00889093
10.3547,0.615814,0.0140156
10.339,0.613916,0.0254162
10.3335,0.617881,0.0287258
10.3574,0.613842,0.042294
10.3492,0.613634,0.0488917
10.3632,0.608069,0.0547485
10.3679,0.606861,0.0432257
10.3709,0.604526,0.0579848
10.3736,0.60234,0.0491928
10.367,0.603703,0.069645
10.3645,0.605643,0.0743093
10.3633,0.606208,0.0637797
10.3671,0.604192,0.0698677
10.361,0.604232,0.0665972
10.361,0.604232,0.0665972
10.367,0.603698,0.0749644
